Frete Carreteiro,Data Saída,ORIGEN,DESTINO,KM,Mês,Lat_Origem,Lng_Origem,Lat_Destino,Lng_Destino,Trimestre,Ano,Valor_por_km,Sintético
100.0,16/5/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,5,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.45454545454545453,0
100.0,20/5/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,5,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.45454545454545453,0
100.0,3/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.45454545454545453,0
100.0,30/5/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,5,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.45454545454545453,0
240.0,25/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,25/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,26/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,25/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,28/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,21/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,25/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,25/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,29/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,20/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,20/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
240.0,21/9/2023,"-25.221956740010594, -54.70431801468475","-28.059436513825233, -52.02543762489218",652,9,-25.221956740010594,-54.70431801468475,-28.059436513825233,-52.02543762489218,3,2023,0.36809815950920244,0
